Timestamp,From Bank,From Account,To Bank,To Account,Amount,Currency,Amount Received,Currency Received,Payment Format,Is Laundering
2022/09/02 13:43,01231,800379FA0,003,8001B8080,3849.15,Euro,3849.15,Euro,ACH,1
2022/09/02 19:00,003,8001B8080,001,800161140,4070.87,US Dollar,4070.87,US Dollar,ACH,1
2022/09/03 09:38,001,800161140,00349,800220960,3861.85,US Dollar,3861.85,US Dollar,ACH,1
2022/09/04 01:02,00349,800220960,020,8001F9760,3551.11,US Dollar,3551.11,US Dollar,ACH,1
2022/09/04 12:26,020,8001F9760,0224,800123FE0,3271.85,US Dollar,3271.85,US Dollar,ACH,1
2022/09/01 06:59,026,801A29190,01394,800853620,4226.58,US Dollar,4226.58,US Dollar,ACH,1
2022/09/03 12:52,01394,800853620,020,800914620,3970.01,US Dollar,3970.01,US Dollar,ACH,1
2022/09/02 04:12,026,801A29190,00394,800606C90,19382.19,US Dollar,19382.19,US Dollar,ACH,1
2022/09/03 14:24,00394,800606C90,020,800914620,19382.19,US Dollar,19382.19,US Dollar,ACH,1
2022/09/02 04:30,026,801A29190,00531,800C31170,12052.39,US Dollar,12052.39,US Dollar,ACH,1
2022/09/04 11:38,00531,800C31170,020,800914620,12052.39,US Dollar,12052.39,US Dollar,ACH,1
2022/09/03 00:54,026,801A29190,01217,8001C5BC0,10530.92,US Dollar,10530.92,US Dollar,ACH,1
2022/09/04 12:41,01217,8001C5BC0,020,800914620,10530.92,US Dollar,10530.92,US Dollar,ACH,1
2022/09/03 11:46,026,801A29190,013125,801B416A0,9741.10,US Dollar,9741.10,US Dollar,ACH,1
2022/09/04 15:45,013125,801B416A0,020,800914620,11897.97,US Dollar,11897.97,US Dollar,ACH,1
2022/09/03 12:16,026,801A29190,00423,80075E7B0,16625.04,Euro,16625.04,Euro,ACH,1
2022/09/05 01:04,00423,80075E7B0,020,800914620,22259.34,US Dollar,22259.34,US Dollar,ACH,1
2022/09/01 08:00,012274,80172FB50,014172,8027F7CA0,12943.96,Euro,12943.96,Euro,ACH,1
2022/09/01 04:01,014172,8027F7CA0,012274,80172FB50,11387.41,Euro,11387.41,Euro,ACH,1
2022/09/01 09:48,011,80033C1D0,011,8019CCDC0,14378.02,Euro,14378.02,Euro,ACH,1
2022/09/01 11:50,011,8019CCDC0,011046,800B3DE60,18570.69,US Dollar,18570.69,US Dollar,ACH,1
2022/09/02 12:12,011046,800B3DE60,003,80033C220,17549.32,Euro,17549.32,Euro,ACH,1
2022/09/03 08:37,003,80033C220,022264,801500E50,15907.36,Euro,15907.36,Euro,ACH,1
2022/09/01 10:31,003460,80187CB60,023726,801B16E20,1173.07,Euro,1173.07,Euro,ACH,1
2022/09/01 21:43,003460,80187CB60,014213,801845C60,14598.87,Euro,14598.87,Euro,ACH,1
2022/09/04 16:23,003460,80187CB60,020,800352C10,15506.59,US Dollar,15506.59,US Dollar,ACH,1
2022/09/01 15:20,011495,8017F4090,00531,800AF0650,12804.99,US Dollar,12804.99,US Dollar,ACH,1
2022/09/01 17:20,021566,8016B03F0,00531,800AF0650,12904.36,US Dollar,12904.36,US Dollar,ACH,1
2022/09/02 02:07,00349,8005373F0,00531,800AF0650,236349.74,US Dollar,236349.74,US Dollar,ACH,1
2022/09/02 07:14,011,800188BD0,00531,800AF0650,10688.52,US Dollar,10688.52,US Dollar,ACH,1
2022/09/02 09:08,01595,800F97670,00531,800AF0650,6601.37,US Dollar,6601.37,US Dollar,ACH,1

2022/09/05 11:21,01217,80060B3A0,01768,800DFB910,8593.90,Euro,8593.90,Euro,ACH,1
2022/09/05 14:16,01217,80060B3A0,00498,800469B70,971295.01,Euro,971295.01,Euro,ACH,1
2022/09/05 14:35,01217,80060B3A0,011,800AECC10,11375.95,US Dollar,11375.95,US Dollar,ACH,1
2022/09/05 18:59,01217,80060B3A0,00349,80077B760,1471.51,US Dollar,1471.51,US Dollar,ACH,1
2022/09/05 19:41,01217,80060B3A0,01422,80061FEF0,1553.76,US Dollar,1553.76,US Dollar,ACH,1
2022/09/01 20:28,00423,8004943A0,012,800AA1DA0,18534.45,US Dollar,18534.45,US Dollar,ACH,1
2022/09/02 11:06,00423,8004943A0,02514,800843180,1850.47,Euro,1850.47,Euro,ACH,1
2022/09/02 12:12,00423,8004943A0,00349,800297990,16820.62,US Dollar,16820.62,US Dollar,ACH,1
2022/09/02 17:47,00423,8004943A0,020,800C6B2D0,19765.07,US Dollar,19765.07,US Dollar,ACH,1
2022/09/03 07:38,00423,8004943A0,00600,800404F90,15738.94,Euro,15738.94,Euro,ACH,1
2022/09/03 08:21,00423,8004943A0,020,800E33990,10707.55,US Dollar,10707.55,US Dollar,ACH,1
2022/09/03 14:50,00423,8004943A0,00423,800AAE3B0,11331.44,Euro,11331.44,Euro,ACH,1
2022/09/03 16:48,00423,8004943A0,020,80011D080,12780.33,US Dollar,12780.33,US Dollar,ACH,1
2022/09/03 17:36,00423,8004943A0,02514,800A1DAE0,2659.52,Euro,2659.52,Euro,ACH,1
2022/09/03 19:57,00423,8004943A0,01720,8015879D0,8172.36,Euro,8172.36,Euro,ACH,1
2022/09/04 02:17,00423,8004943A0,011770,800A53100,13917.05,US Dollar,13917.05,US Dollar,ACH,1
2022/09/04 08:36,00423,8004943A0,01776,80048A6E0,4394.77,Euro,4394.77,Euro,ACH,1
2022/09/04 13:33,00423,8004943A0,015,800073410,17846.21,Yuan,17846.21,Yuan,ACH,1
2022/09/05 14:38,00423,8004943A0,001120,800DE3000,13655.90,US Dollar,13655.90,US Dollar,ACH,1
2022/09/05 16:44,00423,8004943A0,013354,801426610,7959.76,US Dollar,7959.76,US Dollar,ACH,1
2022/09/01 21:48,012386,801C58BA0,020,800134EE0,4562.57,US Dollar,4562.57,US Dollar,ACH,1
2022/09/02 05:28,020,800134EE0,021939,8015D5CB0,4722.48,US Dollar,4722.48,US Dollar,ACH,1
2022/09/02 12:03,021939,8015D5CB0,00600,800EE7AB0,4275.02,Euro,4275.02,Euro,ACH,1
2022/09/02 19:58,00600,800EE7AB0,001390,80150CA50,4031.09,Euro,4031.09,Euro,ACH,1
2022/09/03 15:35,001390,80150CA50,021939,800E9D090,4723.57,US Dollar,4723.57,US Dollar,ACH,1
2022/09/03 17:03,021939,800E9D090,002293,800A68310,4086.89,Euro,4086.89,Euro,ACH,1
2022/09/04 05:01,002293,800A68310,021444,800A4BFC0,3795.28,Euro,3795.28,Euro,ACH,1
2022/09/04 08:47,021444,800A4BFC0,00394,8005D4D40,4022.82,US Dollar,4022.82,US Dollar,ACH,1
2022/09/04 16:09,00394,8005D4D40,014408,801A01340,3919.55,US Dollar,3919.55,US Dollar,ACH,1
2022/09/05 05:51,014408,801A01340,020,800820860,4046.85,US Dollar,4046.85,US Dollar,ACH,1
2022/09/05 13:21,020,800820860,01231,8003DAC70,3784.51,US Dollar,3784.51,US Dollar,ACH,1
2022/09/02 04:55,0018,8000C6BD0,021444,8022EC780,16804.21,Euro,16804.21,Euro,ACH,1
2022/09/02 13:05,01422,80053F7B0,021444,8022EC780,16498.37,Euro,16498.37,Euro,ACH,1
2022/09/03 09:36,012,8002F5BF0,021444,8022EC780,14457.72,Euro,14457.72,Euro,ACH,1
2022/09/04 10:36,001110,800F76430,021444,8022EC780,1785.38,Euro,1785.38,Euro,ACH,1
2022/09/04 18:53,01231,80075FDA0,021444,8022EC780,1747.06,Euro,1747.06,Euro,ACH,1
2022/09/05 08:28,0224,8013CC4C0,021444,8022EC780,16120.75,Euro,16120.75,Euro,ACH,1
2022/09/02 05:53,00425,8012DD1B0,00423,801FB4400,7434.22,Euro,7434.22,Euro,ACH,1
2022/09/03 17:36,00423,801FB4400,011,8002A7310,7485.79,Euro,7485.79,Euro,ACH,1
2022/09/03 18:02,022364,80769C730,0021547,809CDD250,6283.11,US Dollar,6283.11,US Dollar,ACH,1
2022/09/04 10:22,0021547,809CDD250,011770,80AD1ED40,6581.95,US Dollar,6581.95,US Dollar,ACH,1
2022/09/03 01:22,022547,802084610,026922,803D71910,56842.37,Yuan,56842.37,Yuan,ACH,1
2022/09/05 18:18,026922,803D71910,0118939,814A22890,7242.79,Euro,7242.79,Euro,ACH,1
2022/09/03 10:09,0118536,80A976050,0219368,80B883410,16418.21,US Dollar,16418.21,US Dollar,ACH,1
2022/09/03 22:48,0219368,80B883410,018121,808E0C8E0,13772.01,Euro,13772.01,Euro,ACH,1
2022/09/02 16:31,012274,800DFD4A0,011222,800F77640,13207.15,US Dollar,13207.15,US Dollar,ACH,1
2022/09/04 17:36,011222,800F77640,0249331,812342540,77760.62,Brazil Real,77760.62,Brazil Real,ACH,1
2022/09/03 10:45,006045,80E928B40,015885,8029934F0,91804.56,Yuan,91804.56,Yuan,ACH,1
2022/09/04 16:35,015885,8029934F0,0210472,80737AAC0,13110.69,US Dollar,13110.69,US Dollar,ACH,1
2022/09/02 08:05,0136606,80E794520,0215107,8069E2B20,9710.83,US Dollar,9710.83,US Dollar,ACH,1
2022/09/04 20:38,0215107,8069E2B20,0230233,80D0FEE30,8287.22,Euro,8287.22,Euro,ACH,1
2022/09/02 07:09,005893,804AB4490,0014133,80A0644E0,3599.89,US Dollar,3599.89,US Dollar,ACH,1
2022/09/02 13:11,0014133,80A0644E0,0136009,80D2B24F0,4749.34,Canadian Dollar,4749.34,Canadian Dollar,ACH,1
2022/09/02 09:35,019104,804B4C760,015885,804737050,62811.12,Yuan,62811.12,Yuan,ACH,1
2022/09/04 12:27,015885,804737050,0123440,80D990160,8003.32,Euro,8003.32,Euro,ACH,1
2022/09/03 10:04,0030061,80F818570,002293,8017332F0,8352.95,Euro,8352.95,Euro,ACH,1
2022/09/04 19:38,002293,8017332F0,0217862,812E53F70,9611.72,US Dollar,9611.72,US Dollar,ACH,1
2022/09/02 09:14,0217242,80930B730,014652,80367C740,10736.72,Euro,10736.72,Euro,ACH,1
2022/09/02 11:58,014652,80367C740,024027,803596B00,10179.29,Euro,10179.29,Euro,ACH,1
2022/09/03 12:03,0041019,80F649860,020,80015B9D0,10652.83,US Dollar,10652.83,US Dollar,ACH,1
2022/09/03 15:46,020,80015B9D0,019,810F1DE00,213187.44,Mexican Peso,213187.44,Mexican Peso,ACH,1
2022/09/03 09:46,001126,801DC6280,0118213,8078CD560,791974.19,Yen,791974.19,Yen,ACH,1
2022/09/05 05:45,0118213,8078CD560,0110,80F1D80E0,10510.19,Australian Dollar,10510.19,Australian Dollar,ACH,1
2022/09/02 08:57,012,801243180,0152926,813AEBF10,6354.57,Swiss Franc,6354.57,Swiss Franc,ACH,1
2022/09/03 06:39,0152926,813AEBF10,022224,8014C2690,6722.66,US Dollar,6722.66,US Dollar,ACH,1
2022/09/04 01:51,0011,81201C890,0116,81231F870,56161.77,Brazil Real,56161.77,Brazil Real,ACH,1
2022/09/06 11:48,0116,81231F870,013590,802BEEB00,8064.50,Euro,8064.50,Euro,ACH,1
2022/09/02 08:59,0012678,80504D020,0116703,807BABEF0,6501.93,US Dollar,6501.93,US Dollar,ACH,1
2022/09/03 19:25,0116703,807BABEF0,0010,80DEC9170,8577.99,Canadian Dollar,8577.99,Canadian Dollar,ACH,1
2022/09/03 05:19,024,800092F30,001,80037F7A0,17727.38,US Dollar,17727.38,US Dollar,ACH,1
2022/09/04 11:58,001,80037F7A0,001,800131320,17727.38,US Dollar,17727.38,US Dollar,ACH,1
2022/09/04 08:24,003,8003900D0,0224,8004D9810,4227.51,US Dollar,4227.51,US Dollar,ACH,1
2022/09/04 12:27,0224,8004D9810,014,80032DB80,3371.08,Euro,3371.08,Euro,ACH,1
2022/09/04 08:56,020,8001685D0,014,8002AB860,877.21,Euro,877.21,Euro,ACH,1
2022/09/06 11:08,014,8002AB860,00423,8004927C0,877.21,Euro,877.21,Euro,ACH,1
2022/09/02 11:29,021260,800ACE690,020,80050BD20,12794.03,US Dollar,12794.03,US Dollar,ACH,1
2022/09/02 12:15,001638,800E68130,023,800077210,445170.67,Yen,445170.67,Yen,ACH,1
2022/09/06 03:39,011495,8008AD900,023,800077210,1069768.42,Yen,1069768.42,Yen,ACH,1
2022/09/06 03:44,023,800077210,020,801B05250,1079.92,Euro,1079.92,Euro,ACH,1
2022/09/06 06:47,023,800077210,01394,80149EF90,2680.03,US Dollar,2680.03,US Dollar,ACH,1
2022/09/06 19:51,023,800077210,023848,8018113C0,13617.61,Euro,13617.61,Euro,ACH,1
2022/09/07 10:49,023,800077210,001126,801BEBEB0,13775.60,Euro,13775.60,Euro,ACH,1
2022/09/07 19:56,023,800077210,015400,801F7D790,12829.39,Euro,12829.39,Euro,ACH,1
2022/09/08 08:10,023,800077210,000,8008E7790,11319.37,Euro,11319.37,Euro,ACH,1
2022/09/08 12:09,023,800077210,003100,8019B5F40,10993.76,US Dollar,10993.76,US Dollar,ACH,1
2022/09/08 17:23,023,800077210,001110,8016DBD30,14591.77,US Dollar,14591.77,US Dollar,ACH,1
2022/09/08 18:06,023,800077210,012,80127ED20,16652.77,US Dollar,16652.77,US Dollar,ACH,1
2022/09/09 02:47,023,800077210,00349,8003FED00,5845.00,US Dollar,5845.00,US Dollar,ACH,1
2022/09/09 05:20,023,800077210,011770,801166560,8534.40,US Dollar,8534.40,US Dollar,ACH,1
2022/09/09 09:30,023,800077210,020,800810C70,14299.17,US Dollar,14299.17,US Dollar,ACH,1
2022/09/09 11:11,023,800077210,011,8001B2340,5942.54,Euro,5942.54,Euro,ACH,1
2022/09/09 12:27,023,800077210,000,8001AC0D0,10170.26,Euro,10170.26,Euro,ACH,1
2022/09/09 12:33,023,800077210,02514,80175C410,7118.25,Euro,7118.25,Euro,ACH,1
2022/09/10 00:30,023,800077210,021260,801A11030,4520.85,US Dollar,4520.85,US Dollar,ACH,1
2022/09/02 18:59,01394,800701D70,011047,8015675E0,11273.59,US Dollar,11273.59,US Dollar,ACH,1
2022/09/05 04:55,011047,8015675E0,011495,800A08E20,10873.85,US Dollar,10873.85,US Dollar,ACH,1
2022/09/02 19:27,01394,800701D70,020,800AE0390,2892.63,US Dollar,2892.63,US Dollar,ACH,1
2022/09/05 05:45,020,800AE0390,011495,800A08E20,2892.63,US Dollar,2892.63,US Dollar,ACH,1
2022/09/02 22:21,01394,800701D70,01422,80053D300,18991.63,US Dollar,18991.63,US Dollar,ACH,1
2022/09/05 08:21,01422,80053D300,011495,800A08E20,17168.45,US Dollar,17168.45,US Dollar,ACH,1
2022/09/03 04:26,01394,800701D70,011222,8024794B0,1295.78,US Dollar,1295.78,US Dollar,ACH,1
2022/09/05 09:29,011222,8024794B0,011495,800A08E20,1295.78,US Dollar,1295.78,US Dollar,ACH,1
2022/09/03 08:18,01394,800701D70,00394,8004F6E40,5690.82,US Dollar,5690.82,US Dollar,ACH,1
2022/09/05 13:29,00394,8004F6E40,011495,800A08E20,5166.84,US Dollar,5166.84,US Dollar,ACH,1
2022/09/03 11:06,01394,800701D70,011222,8008807F0,13834.32,US Dollar,13834.32,US Dollar,ACH,1
2022/09/05 14:33,011222,8008807F0,011495,800A08E20,14939.70,US Dollar,14939.70,US Dollar,ACH,1
2022/09/03 12:13,01394,800701D70,001126,800CC0D30,1969.85,Euro,1969.85,Euro,ACH,1
2022/09/05 15:47,001126,800CC0D30,011495,800A08E20,2169.92,US Dollar,2169.92,US Dollar,ACH,1
2022/09/03 13:27,01394,800701D70,012592,8011B9360,14051.08,US Dollar,14051.08,US Dollar,ACH,1
2022/09/05 16:45,012592,8011B9360,011495,800A08E20,14051.08,US Dollar,14051.08,US Dollar,ACH,1
2022/09/03 14:01,01394,800701D70,023848,8017E7F30,965.81,Euro,965.81,Euro,ACH,1
2022/09/05 17:46,023848,8017E7F30,011495,800A08E20,1131.72,US Dollar,1131.72,US Dollar,ACH,1
2022/09/03 14:44,01394,800701D70,014,801C0E220,9414.62,Euro,9414.62,Euro,ACH,1
2022/09/06 03:09,014,801C0E220,011495,800A08E20,10311.21,US Dollar,10311.21,US Dollar,ACH,1
2022/09/03 17:05,01394,800701D70,021414,80140D8C0,12072.94,US Dollar,12072.94,US Dollar,ACH,1
2022/09/06 08:36,021414,80140D8C0,011495,800A08E20,9825.42,US Dollar,9825.42,US Dollar,ACH,1
2022/09/04 13:57,01394,800701D70,002368,801E8ECE0,5823.89,US Dollar,5823.89,US Dollar,ACH,1
2022/09/06 11:22,002368,801E8ECE0,011495,800A08E20,5823.89,US Dollar,5823.89,US Dollar,ACH,1
2022/09/04 14:02,01394,800701D70,01776,8005E13E0,10703.56,Euro,10703.56,Euro,ACH,1
2022/09/06 13:04,01776,8005E13E0,011495,800A08E20,14453.78,US Dollar,14453.78,US Dollar,ACH,1
2022/09/04 18:19,01394,800701D70,021876,801F9EC90,17000.44,Euro,17000.44,Euro,ACH,1
2022/09/06 15:55,021876,801F9EC90,011495,800A08E20,19920.84,US Dollar,19920.84,US Dollar,ACH,1
2022/09/05 04:25,01394,800701D70,0010,80009F9A0,19517.18,Canadian Dollar,19517.18,Canadian Dollar,ACH,1
2022/09/06 18:13,0010,80009F9A0,011495,800A08E20,16986.14,US Dollar,16986.14,US Dollar,ACH,1
2022/09/03 08:41,005312,8024C33A0,011,801772BE0,14393.52,Euro,14393.52,Euro,ACH,1
2022/09/04 13:28,011,801772BE0,000,8001C8D20,15284.76,Euro,15284.76,Euro,ACH,1
2022/09/04 14:30,01835,801FC7640,023848,80267BC80,10345.01,Euro,10345.01,Euro,ACH,1
2022/09/06 17:19,023848,80267BC80,000,8017AD1A0,10130.10,Euro,10130.10,Euro,ACH,1
2022/09/04 09:01,000,8017AD1A0,00600,80083DEB0,2154.41,Euro,2154.41,Euro,ACH,1
2022/09/06 07:30,00600,80083DEB0,01595,8003B1FD0,2207.12,Euro,2207.12,Euro,ACH,1
2022/09/03 11:41,011314,801D9FC80,025307,80267B8B0,15743.98,Euro,15743.98,Euro,ACH,1
2022/09/03 13:18,025307,80267B8B0,022264,800FDF020,15743.98,Euro,15743.98,Euro,ACH,1
2022/09/04 12:26,012,800424840,011,800B40290,7192.63,Euro,7192.63,Euro,ACH,1
2022/09/05 09:48,011,800B40290,002196,801E2D0E0,9029.54,US Dollar,9029.54,US Dollar,ACH,1
2022/09/04 11:57,021876,800FA0010,023848,801D670F0,11702.35,Euro,11702.35,Euro,ACH,1
2022/09/06 07:58,023848,801D670F0,001277,800A25690,12921.94,US Dollar,12921.94,US Dollar,ACH,1
2022/09/03 15:51,00394,8009A0B40,01394,80065ADF0,14427.24,US Dollar,14427.24,US Dollar,ACH,1
2022/09/06 07:15,01394,80065ADF0,01422,800C7DE60,14408.25,US Dollar,14408.25,US Dollar,ACH,1
2022/09/03 16:21,013590,802700E10,014172,801CEE180,2923.92,Euro,2923.92,Euro,ACH,1
2022/09/04 05:17,014172,801CEE180,021876,801D26460,2969.23,Euro,2969.23,Euro,ACH,1
2022/09/04 12:43,001,800203760,011,8001A77D0,11574.85,Euro,11574.85,Euro,ACH,1
2022/09/04 19:21,011,8001A77D0,012,80029BDF0,89126.45,Yuan,89126.45,Yuan,ACH,1
2022/09/03 13:48,00531,800719590,020,80085FCF0,4838.14,US Dollar,4838.14,US Dollar,ACH,1
2022/09/04 09:04,011046,8006ED670,01835,800DF8060,13434.65,Euro,13434.65,Euro,ACH,1
2022/09/03 13:06,021876,800D078D0,000,801257F40,15364.39,Euro,15364.39,Euro,ACH,1
2022/09/03 15:37,001120,80075CBD0,01595,800886240,1606.81,Euro,1606.81,Euro,ACH,1
2022/09/03 10:14,011,8011C1760,00394,800DECA20,10718.64,US Dollar,10718.64,US Dollar,ACH,1
2022/09/03 15:42,011,8009A12E0,011,8007B1960,12193.40,Euro,12193.40,Euro,ACH,1
2022/09/03 01:15,002196,80100B610,01231,800931590,15507.35,US Dollar,15507.35,US Dollar,ACH,1
2022/09/04 06:14,002196,80100B610,012063,800C0ABD0,1358.53,US Dollar,1358.53,US Dollar,ACH,1
2022/09/05 13:49,002196,80100B610,01291,8019BB040,16928.89,US Dollar,16928.89,US Dollar,ACH,1
2022/09/03 02:20,001,80066BC10,01217,80076C790,1234.50,US Dollar,1234.50,US Dollar,ACH,1
2022/09/03 13:44,001,80066BC10,00423,8003A5210,1719.65,Euro,1719.65,Euro,ACH,1
2022/09/04 10:49,001,80066BC10,012,80011BF30,9761.54,US Dollar,9761.54,US Dollar,ACH,1
2022/09/05 10:48,001,80066BC10,003,800427450,4030.24,Euro,4030.24,Euro,ACH,1
2022/09/05 12:19,001,80066BC10,01394,8002C9330,2078.19,US Dollar,2078.19,US Dollar,ACH,1
2022/09/05 14:33,001,80066BC10,00498,8001E5DE0,2095.10,Euro,2095.10,Euro,ACH,1
2022/09/06 12:47,001,80066BC10,02514,80032A260,15021.08,Euro,15021.08,Euro,ACH,1
2022/09/03 03:11,005383,8027CAB40,00600,8027CAD30,4070.61,Euro,4070.61,Euro,ACH,1
2022/09/03 04:15,00600,8027CAD30,005383,8027CAB40,4070.61,Euro,4070.61,Euro,ACH,1
2022/09/03 05:21,0224,8001F1F40,0224,800127B30,5852.56,US Dollar,5852.56,US Dollar,ACH,1
2022/09/03 06:29,020,8001A98D0,0224,800127B30,6481.12,US Dollar,6481.12,US Dollar,ACH,1
2022/09/03 08:00,000,800326A80,0224,800127B30,3871.60,US Dollar,3871.60,US Dollar,ACH,1
2022/09/03 11:44,003,800212320,0224,800127B30,6696.49,US Dollar,6696.49,US Dollar,ACH,1
2022/09/04 11:15,014,80025CD30,0224,800127B30,1680.83,US Dollar,1680.83,US Dollar,ACH,1
2022/09/04 12:16,014,8003BF760,0224,800127B30,4136.34,US Dollar,4136.34,US Dollar,ACH,1
2022/09/04 13:48,00425,8002A2EB0,0224,800127B30,16131.77,US Dollar,16131.77,US Dollar,ACH,1
2022/09/04 17:13,020,8001A8190,0224,800127B30,12544.22,US Dollar,12544.22,US Dollar,ACH,1
2022/09/05 08:26,020,800138F00,0224,800127B30,10301.34,US Dollar,10301.34,US Dollar,ACH,1
2022/09/05 14:09,020,800239200,0224,800127B30,18831.84,US Dollar,18831.84,US Dollar,ACH,1
2022/09/05 19:24,020,80047F3C0,0224,800127B30,2391.95,US Dollar,2391.95,US Dollar,ACH,1
2022/09/05 16:04,0224,800127B30,00600,800402E80,75884.38,Euro,75884.38,Euro,ACH,1
2022/09/06 06:16,0224,800127B30,020,80031D1B0,19210.36,US Dollar,19210.36,US Dollar,ACH,1
2022/09/06 10:38,0224,800127B30,00423,80033E2D0,691.96,Euro,691.96,Euro,ACH,1
2022/09/06 11:39,0224,800127B30,00423,80027DC60,12133.34,Euro,12133.34,Euro,ACH,1
2022/09/06 19:50,0224,800127B30,01394,8002BA130,9986.28,US Dollar,9986.28,US Dollar,ACH,1
2022/09/07 09:45,0224,800127B30,01776,80048F940,7658.47,Euro,7658.47,Euro,ACH,1
2022/09/07 12:54,0224,800127B30,000,8000F3250,5234.43,Euro,5234.43,Euro,ACH,1
2022/09/07 14:01,0224,800127B30,0224,8001420B0,7860.77,US Dollar,7860.77,US Dollar,ACH,1
2022/09/07 16:59,0224,800127B30,00498,80033FE80,8276.82,Euro,8276.82,Euro,ACH,1
2022/09/08 05:58,0224,800127B30,020,800191B20,9228.11,US Dollar,9228.11,US Dollar,ACH,1
